actor_2_name,actor_1_name,movie_title,actor_3_name,title_year
Salma Hayek,Josh Hutcherson,Cirque du Freak: The Vampire's Assistant ,Patrick Fugit,2009
Brendan Fraser,Josh Hutcherson,Journey to the Center of the Earth ,Anita Briem,2008
Zooey Deschanel,Josh Hutcherson,Bridge to Terabithia ,Bailee Madison,2007
Will Ferrell,Josh Hutcherson,Kicking & Screaming ,Robert Duvall,2005
James Urbaniak,Josh Hutcherson,American Splendor ,Daniel Tay,2003
Tom Hamann,Josh Swanson,Antarctica: A Year on Ice ,Anthony Powell,2013
Alan Dale,Josh Wingate,Priest ,Jacob Hopkins,2011
Dana Blackstone,Joshua Ray Bell,Horse Camp ,Annelyse Ahmad,2014
Aimee Garcia,Jossara Jinaro,Go for It! ,Rene Rosado,2011
Aisha Tyler,Judge Reinhold,The Santa Clause 2,Eric Lloyd,2002
Eric Lloyd,Judge Reinhold,The Santa Clause ,Peter Boyle,1994
Lillian Adams,Judith Chapman,The Sweetest Thing ,Chelsea Bond,2002
Chris Bauer,Judy Greer,Tomorrowland ,Thomas Robinson,2015
Hayley Atwell,Judy Greer,Ant-Man ,T.I.,2015
Evan Ross,Judy Greer,"Jeff, Who Lives at Home ",Rae Dawn Chong,2011
Cybill Shepherd,Judy Greer,Barry Munday ,Shea Whigham,2010
Sasha Alexander,Judy Greer,Love Happens ,Frances Conroy,2009
Bern Cohen,Judy Greer,27 Dresses,Yetta Gottesman,2008
Dennis Quaid,Judy Greer,American Dreamz ,Chris Klein,2006
Marisa Coughlan,Judy Greer,I Love Your Work ,Nicky Katt,2003
Adam Goldberg,Judy Greer,The Hebrew Hammer ,Tony Cox,2003
Lisa Edelstein,Judy Greer,What Women Want ,Loretta Devine,2000
Linda Fiorentino,Judy Greer,What Planet Are You From? ,Garry Shandling,2000
James Gunn,Judy Greer,The Specials ,Jamie Kennedy,2000
Jamie Kennedy,Judy Greer,Three Kings ,Mykelti Williamson,1999
Flaco Navaja,Judy Marte,On the Outs ,Dominic Colón,2004
Ivan Barnev,Julia Jentsch,I Served the King of England ,Milan Lasica,2006
Jane Krakowski,Julia Ormond,Kit Kittredge: An American Girl ,Willow Smith,2008
Ben Cross,Julia Ormond,First Knight ,John Gielgud,1995
Jack O'Connell,Julia Roberts,Money Monster ,Chris Bauer,2016
Michael Kelly,Julia Roberts,Secret in Their Eyes ,Joe Cole,2015
Nathan Lane,Julia Roberts,Mirror Mirror ,Danny Woodburn,2012
Tom Wilkinson,Julia Roberts,Duplicity ,Denis O'Hare,2009
Kirsten Dunst,Julia Roberts,Mona Lisa Smile ,Marian Seldes,2003
Enrico Colantoni,Julia Roberts,Full Frontal ,Blair Underwood,2002
Rainn Wilson,Julia Roberts,America's Sweethearts ,Larry King,2001
Albert Finney,Julia Roberts,Erin Brockovich ,Conchata Ferrell,2000
Christopher Meloni,Julia Roberts,Runaway Bride ,Hector Elizondo,1999
Clarke Peters,Julia Roberts,Notting Hill ,Dylan Moran,1999
Liam Aiken,Julia Roberts,Stepmom ,Herbert Russell,1998
Alex McArthur,Julia Roberts,Conspiracy Theory ,Michael Potts,1997
Christopher Masterson,Julia Roberts,My Best Friend's Wedding ,Rupert Everett,1997
Bronagh Gallagher,Julia Roberts,Mary Reilly ,George Cole,1996
Sean Pertwee,Julian Glover,Alien Uprising ,Bianca Brigitte VanDamme,2012
Shantel VanSanten,Julian Morris,Something Wicked ,John Robinson,2014
Margo Harshman,Julian Morris,Sorority Row ,Rumer Willis,2009
Nichola Burley,Julian Morris,Donkey Punch ,Tom Burke,2008
Gary Cole,Julian Morris,Cry_Wolf ,Lindy Booth,2005
Kate Dickie,Julian Richings,The Witch ,Ralph Ineson,2015
Shawn Roberts,Julian Richings,Survival of the Dead ,Kathleen Munroe,2009
Lee Evans,Julian Sands,The Medallion ,Anthony Chau-Sang Wong,2003
Rick Gomez,Julianna Guill,The Apparition ,Tim Williams,2012
Joe Coffey,Julianna Pitt,Sanctuary; Quite a Conundrum ,John Lucas,2012
Thomas Brophy,Julianne Gabert,"Run, Hide, Die ",Ronee Collins,2012
Wayne Knight,Julie Benz,Punisher: War Zone ,Colin Salmon,2008
Costas Mandylor,Julie Benz,Saw V ,Scott Patterson,2008
Tatyana Ali,Julie Benz,The Brothers ,Jenifer Lewis,2001
Judy Greer,Julie Benz,Jawbreaker ,Jeff Conaway,1999
Brian Blessed,Julie Christie,Hamlet ,Richard Briers,1996
Brian Blessed,Julie Christie,Hamlet ,Richard Briers,1996
Fiona Glascott,Julie Walters,Brooklyn ,Eva Birthistle,2015
Matt Lucas,Julie Walters,Paddington ,Sally Hawkins,2014
Gary Lewis,Julie Walters,Billy Elliot ,Jamie Draven,2000
Alex Lawther,Juliet Stevenson,Departure ,Niamh Cusack,2015
Jun Kunimura,Jung-min Hwang,The Wailing ,Woo-hee Chun,2016
Brandon T. Jackson,Jurnee Smollett-Bell,Roll Bounce ,Shad Moss,2005
Lynn Whitfield,Jurnee Smollett-Bell,Eve's Bayou ,Diahann Carroll,1997
Luke Perry,Justin Baldoni,A Fine Step ,Leonor Varela,2014
Josie Loren,Justin Chon,21 & Over,Sarah Wright,2013
Christa B. Allen,Justin Chon,Detention of the Dead ,Max Adler,2012
Courtney Bell,Justin Gordon,Absentia ,Erin Cipolletti,2011
Geoff Stults,Justin Kirk,L!fe Happens ,Kristen Johnston,2011
Lauren Ambrose,Justin Theroux,Wanderlust ,Joe Lo Truglio,2012
Amber Valletta,Justin Theroux,Duplex ,Harvey Fierstein,2003
Nia Long,Justin Theroux,The Broken Hearts Club: A Romantic Comedy ,Mary McCormack,2000
John Heard,Justin Timberlake,Runner Runner ,David Costabile,2013
Max Casella,Justin Timberlake,Inside Llewyn Davis ,Alex Karpovsky,2013
John Michael Higgins,Justin Timberlake,Bad Teacher ,Phyllis Smith,2011
Tom Cavanagh,Justin Timberlake,Yogi Bear ,Josh Robert Thompson,2010
Romany Malco,Justin Timberlake,The Love Guru ,Verne Troyer,2008
Eric Idle,Justin Timberlake,Shrek the Third ,Rupert Everett,2007
Michael Raymond-James,Justin Timberlake,Black Snake Moan ,S. Epatha Merkerson,2006
Paul Elia,Kane Hodder,Love in the Time of Monsters ,Alex Sanborn,2014
Woo-sung Jung,Kang-ho Song,"The Good, the Bad, the Weird ",Dal-su Oh,2008
Colin Andrews,Karen Alexander,Crop Circles: Quest for Truth ,Francine Blake,2002
Mary Elizabeth Mastrantonio,Karen Allen,The Perfect Storm ,Bob Gunton,2000
Erin O'Brien,Kari J. Kramer,Fight Valley ,Cabrina Collesides,2016
Eric Elmosnino,Karin Viard,La Famille Bélier ,François Damiens,2014
Bobby Deol,Karisma Kapoor,Hum To Mohabbat Karega ,Shakti Kapoor,2000
Manoj Bajpayee,Karisma Kapoor,Fiza ,Jaya Bhaduri,2000
Lizzie Brocheré,Karl E. Landler,One to Another ,Pierre Perrier,2006
Nacho Vigalondo,Karra Elejalde,Timecrimes ,Bárbara Goenaga,2007
Amber Rose Revah,Kasia Smutniak,From Paris with Love ,Rebecca Dayan,2010
Kevin McCarthy,Kate Maberly,The Ghastly Love of Johnny X ,Paul Williams,2012
Larry David,Kate Upton,The Three Stooges ,Sean Hayes,2012
Norman Reedus,Kate Winslet,Triple 9,Clifton Collins Jr.,2016
Theo James,Kate Winslet,Insurgent ,Mekhi Phifer,2015
Michael Fassbender,Kate Winslet,Steve Jobs ,Michael Stuhlbarg,2015
Theo James,Kate Winslet,Divergent ,Mekhi Phifer,2014
Christoph Waltz,Kate Winslet,Carnage ,Julie Adams,2011
David Kross,Kate Winslet,The Reader ,Susanne Lothar,2008
Rufus Sewell,Kate Winslet,The Holiday ,Sarah Parish,2006
Anthony Hopkins,Kate Winslet,All the King's Men ,Kevin Dunn,2006
Noah Emmerich,Kate Winslet,Little Children ,Jane Adams,2006
Steve Buscemi,Kate Winslet,Romance & Cigarettes ,Eddie Izzard,2005
Kirsten Dunst,Kate Winslet,Eternal Sunshine of the Spotless Mind ,Tom Wilkinson,2004
Jim Broadbent,Kate Winslet,Iris ,Kris Marshall,2001
Stephen Marcus,Kate Winslet,Quills ,Amelia Warner,2000
Jed Brophy,Kate Winslet,Heavenly Creatures ,Liz Mullane,1994
Brenda Blethyn,Kath Soucie,Pooh's Heffalump Movie ,John Fiedler,2005
John Fiedler,Kath Soucie,The Tigger Movie ,Ken Sansom,2000
Michelle Nolden,Katharine Isabelle,Show Me ,Gabriel Hogan,2004
Jason Ritter,Katharine Isabelle,Freddy vs. Jason ,Zack Ward,2003
Carly Schroeder,Katharine Ross,Eye of the Dolphin ,George Harris,2006
Dove Cameron,Katherine McNamara,R.L. Stine's Monsterville: The Cabinet of Souls ,Braeden Lemasters,2015
Chris Miller,Kathleen Freeman,Shrek ,Bobby Block,2001
M.C. Gainey,Kathleen Quinlan,Breakdown ,J.T. Walsh,1997
Dom DeLuise,Kathleen Turner,Baby Geniuses ,Ruby Dee,1999
Sam Waterston,Kathleen Turner,Serial Mom ,Traci Lords,1994
Anslem Richardson,Katie Aselton,Black Rock ,Jay Paulson,2012
Jon Gries,Katrina Bowden,A True Story ,Kelen Coleman,2013
Tyler Labine,Katrina Bowden,Tucker and Dale vs Evil ,Chelan Simmons,2010
Michael Cudlitz,Katrina Bowden,Sex Drive ,Alice Greczyn,2008
Clive Standen,Katrina Kaif,Namastey London ,Riteish Deshmukh,2007
Johnny Messner,Katrina Law,Checkmate ,Michael Paré,2015
Shea Whigham,Katy Mixon,Take Shelter ,Robert Longstreet,2011
David Gallagher,Katy Mixon,The Quiet ,Edie Falco,2005
Laura Harring,Kay Panabaker,Nancy Drew ,Tate Donovan,2007
Alexis Biesiada,Kayla Jackson,Standing Ovation ,Kayla Raparelli,2010
Riz Ahmed,Kayvan Novak,Four Lions ,Alex Macqueen,2010
Bella Heathcote,Keanu Reeves,The Neon Demon ,Charles Baker,2016
Cary-Hiroyuki Tagawa,Keanu Reeves,47 Ronin,Jin Akanishi,2013
Jon Hamm,Keanu Reeves,The Day the Earth Stood Still ,Juan Riedinger,2008
Chris Evans,Keanu Reeves,Street Kings ,Noel Gugliemi,2008
Jon Hamm,Keanu Reeves,The Day the Earth Stood Still ,Juan Riedinger,2008
Dylan Walsh,Keanu Reeves,The Lake House ,Ebon Moss-Bachrach,2006
Jon Favreau,Keanu Reeves,Something's Gotta Give ,Paul Michael Glaser,2003
Charlize Theron,Keanu Reeves,Sweet November ,Frank Langella,2001
D.B. Sweeney,Keanu Reeves,Hardball ,DeWayne Warren,2001
Jon Favreau,Keanu Reeves,The Replacements ,Faizon Love,2000
Joseph Sikora,Keanu Reeves,The Watcher ,Chris Ellis,2000
Marcus Chong,Keanu Reeves,The Matrix ,Gloria Foster,1999
Al Pacino,Keanu Reeves,The Devil's Advocate ,Charlize Theron,1997
Marg Helgenberger,Keanu Reeves,The Last Time I Committed Suicide ,Gretchen Mol,1997
Morgan Freeman,Keanu Reeves,Chain Reaction ,Kevin Dunn,1996
Alan Ruck,Keanu Reeves,Speed ,Joe Morton,1994
Hiam Abbass,Keisha Castle-Hughes,The Nativity Story ,Shaun Toub,2006
Rawiri Paratene,Keisha Castle-Hughes,Whale Rider ,Tammy Davis,2002
Gary Farmer,Keith Carradine,All Hat ,Stephen McHattie,2007
Joanne Whalley,Keith Carradine,The Californians ,Illeana Douglas,2005
Piper Mackenzie Harris,Kelli Garner,G-Force ,Niecy Nash,2009
Lou Taylor Pucci,Kelli Garner,Thumbsucker ,Nancy O'Dell,2005
Nick Stahl,Kelli Garner,Bully ,Brad Renfro,2001
Firass Dirani,Kelly Carlson,The Marine ,Drew Powell,2006
John Ratzenberger,Kelly Macdonald,Brave ,Julie Walters,2012
Guro Nagelhus Schia,Kelly Macdonald,Anna Karenina ,Matthew Macfadyen,2012
Stephen Root,Kelly Macdonald,No Country for Old Men ,Barry Corbin,2007
Saffron Burrows,Kelly Macdonald,The Loss of Sexual Innocence ,Julian Sands,1999
Shirley Henderson,Kelly Macdonald,Trainspotting ,Ewen Bremner,1996
Bobby Coleman,Kelly Preston,The Last Song ,Melissa Ordway,2010
Morgan Fairchild,Kelly Preston,Holy Man ,Eric McCormack,1998
Michael McKean,Kelly Preston,Nothing to Lose ,Rebecca Gayheart,1997
Roger Jackson,Kelly Rutherford,Scream 3,Nancy O'Dell,2000
Kay Panabaker,Kelsey Grammer,Fame ,Megan Mullally,2009
Benjamin J. Cain Jr.,Ken Arnold,Abduction ,Richard Cetrone,2011
Bill Clinton,Ken Burns,Wordplay ,Bob Dole,2006
Freddy Rodríguez,Ken Howard,Dreamer: Inspired by a True Story ,Holmes Osborne,2005
Jeremy Northam,Ken Howard,The Net ,Ray McKinnon,1995
Matthew Feeney,Kendyl Joi,Arnolds Park ,Tac Fitzgerald,2007
Andrea Vergara,Kenny Johnston,Heli ,Gabriel Reyes,2013
Nicholas Simmons,Keri Maletto,Amidst the Devil's Wings ,Barbie Castro,2014
Caitlin FitzGerald,Kerry Bishé,Newlyweds ,Daniella Pineda,2011
Ashley Scott,Kevin Alejandro,Strange Wilderness ,Jeff Garlin,2008
Barry Bostwick,Kevin Corrigan,Some Guy Who Kills People ,Ahmed Best,2011
Seymour Cassel,Kevin Corrigan,Lonesome Jim ,Mary Kay Place,2005
Anne Heche,Kevin Corrigan,Walking and Talking ,Vincent Pastore,1996
Jenna Boyd,Kevin Grevioux,Dickie Roberts: Former Child Star ,Mary McCormack,2003
Mark Caven,Kevin Howarth,The Big Swap ,Thierry Harcourt,1998
Keith Allen,Kevin McNally,De-Lovely ,Sandra Nelson,2004
Natalie Imbruglia,Kevin McNally,Johnny English ,Ben Miller,2003
Gabriela Castillo,Kevin P. Farley,"Dude, Where's My Dog?! ",Brandon Middleton,2014
Héctor Jiménez,Kevin Pollak,Compadres ,Erick Elias,2016
Kathryn Morris,Kevin Pollak,Deterrence ,Timothy Hutton,1999
Regi Davis,Kevin Rankin,Hulk ,Celia Weston,2003
Christopher Toler,Kevin Scott Richardson,Rize ,Tommy the Clown,2005
Christoph Waltz,Kevin Spacey,Horrible Bosses 2,Lindsay Sloane,2014
Lindsay Sloane,Kevin Spacey,Horrible Bosses ,Reginald Ballard,2011
Demi Moore,Kevin Spacey,Margin Call ,Ashley Williams,2011
Eric Schweig,Kevin Spacey,Casino Jack ,Christian Campbell,2010
Jeff Bridges,Kevin Spacey,The Men Who Stare at Goats ,Stephen Root,2009
Matt Berry,Kevin Spacey,Moon ,Benedict Wong,2009
Jim Sturgess,Kevin Spacey,21,Josh Gad,2008
Marlon Brando,Kevin Spacey,Superman Returns ,Frank Langella,2006
Bob Hoskins,Kevin Spacey,Beyond the Sea ,Brenda Blethyn,2004
Kate Winslet,Kevin Spacey,The Life of David Gale ,Matt Craven,2003
Jeff Bridges,Kevin Spacey,K-PAX ,Alfre Woodard,2001
Scott Glenn,Kevin Spacey,The Shipping News ,Jason Behr,2001
Haley Joel Osment,Kevin Spacey,Pay It Forward ,Angie Dickinson,2000
Peter Gallagher,Kevin Spacey,American Beauty ,Ara Celi,1999
Michael Cudlitz,Kevin Spacey,The Negotiator ,Siobhan Fallon Hogan,1998
Madeline Kahn,Kevin Spacey,A Bug's Life ,John Ratzenberger,1998
Matt McCoy,Kevin Spacey,L.A. Confidential ,Paul Guilfoyle,1997
Bob Gunton,Kevin Spacey,Midnight in the Garden of Good and Evil ,Leon Rippy,1997
Matthew McConaughey,Kevin Spacey,A Time to Kill ,Oliver Platt,1996
Morgan Freeman,Kevin Spacey,Outbreak ,Rene Russo,1995
Chazz Palminteri,Kevin Spacey,The Usual Suspects ,Kevin Pollak,1995
Larry Miller,Kevin Sussman,Alpha and Omega ,Christine Lakin,2010
Bella Heathcote,Kevin Zegers,The Curse of Downers Grove ,Tom Arnold,2015
Rip Torn,Kevin Zegers,Zoom ,Thomas F. Wilson,2006
Felicity Huffman,Kevin Zegers,Transamerica ,Paul Borghese,2005
Lindy Booth,Kevin Zegers,Wrong Turn ,Julian Richings,2003
Bill Cobbs,Kevin Zegers,Air Bud ,Michael Jeter,1997
Ahmed Hassan,Khalid Abdalla,The Square ,Aida Elkashef,2013
Dash Mihok,Khandi Alexander,Dark Blue ,Michael Michele,2002
Lili Taylor,Ki Hong Lee,The Scorch Trials ,Rosa Salazar,2015
Aml Ameen,Ki Hong Lee,The Maze Runner ,Jacob Latimore,2014
Michael Harding,Kieran Culkin,The Dangerous Lives of Altar Boys ,Jake Richardson,2002
Rory Culkin,Kieran Culkin,Igby Goes Down ,Bill Irwin,2002
Elden Henson,Kieran Culkin,The Mighty ,Gena Rowlands,1998
Ryan O'Neal,Kim Dickens,Zero Effect ,Angela Featherstone,1998
Erica Leerhsen,Kim Director,Book of Shadows: Blair Witch 2,Kurt Loder,2000
John Heard,Kim Shaw,Animals ,David Dastmalchian,2014
Amy Carson,Kim-Marie Woodhouse,The Magic Flute ,Joseph Kaiser,2006
Luke Edwards,Kimberley Crossman,A Beginner's Guide to Snuff ,Bree Williamson,2016
Rick Fox,Kimberly Elise,Dope ,Kiersey Clemons,2015
Janet McTeer,Kimberly J. Brown,Tumbleweeds ,Lois Smith,1999
Gia Mantegna,Kimberly Williams-Paisley,Ask Me Anything ,Cathryn de Prume,2014
Ryan Donowho,Kip Pardue,Imaginary Heroes ,Larry Fessenden,2004
Big Budah,Kirby Heyborne,The R.M. ,Curt Doussett,2003
Lincoln Hoppe,Kirby Heyborne,The Singles Ward ,Daryn Tufts,2002
Ken Bevel,Kirk Cameron,Fireproof ,Erin Bethea,2008
Shawn Andrews,Kirk Fox,City of Ghosts ,Rob Campbell,2002
Sam Shepard,Kirsten Dunst,Midnight Special ,Paul Sparks,2016
Adam Scott,Kirsten Dunst,Bachelorette ,Andrew Rannells,2012
Shirley Henderson,Kirsten Dunst,Marie Antoinette ,Rip Torn,2006
Jon Favreau,Kirsten Dunst,Wimbledon ,Austin Nichols,2004
Jay Hernandez,Kirsten Dunst,Crazy/Beautiful ,Rolando Molina,2001
Lindsay Sloane,Kirsten Dunst,Bring It On ,Clare Kramer,2000
Kirstie Alley,Kirsten Dunst,Drop Dead Gorgeous ,Ellen Barkin,1999
Kathleen Turner,Kirsten Dunst,The Virgin Suicides ,Scott Glenn,1999
Denis Leary,Kirsten Dunst,Small Soldiers ,Robert Picardo,1998
Kelsey Grammer,Kirsten Dunst,Anastasia ,Bernadette Peters,1997
Anna Nakagawa,Kôji Yakusho,The Cure ,Denden,1997
Fedor Bondarchuk,Konstantin Khabenskiy,A Warrior's Tail ,Sergey Garmash,2015
Elena Lyadova,Konstantin Khabenskiy,The Geographer Drank His Globe Away ,Eugenia Khirivskaya,2013
Aleksey Chadov,Konstantin Khabenskiy,Night Watch ,Zhanna Friske,2004
Vladimir Garin,Konstantin Lavronenko,The Return ,Nataliya Vdovina,2003
Andrew Fiscella,Krista Allen,The Final Destination ,Shantel VanSanten,2009
Eric Dane,Krista Allen,Feast ,Henry Rollins,2005
Rachel Sterling,Kristen Quintrall,No Vacancy ,Black Thomas,2012
Suzi Lorraine,Kristen Seavey,Dry Spell ,Travis Legge,2013
Hunter Parrish,Kristen Stewart,Still Alice ,Seth Gilliam,2014
Viggo Mortensen,Kristen Stewart,On the Road ,Kirsten Dunst,2012
Ally Sheedy,Kristen Stewart,Welcome to the Rileys ,Kerry Cahill,2010
Scout Taylor-Compton,Kristen Stewart,The Runaways ,Johnny Lewis,2010
Martin Starr,Kristen Stewart,Adventureland ,Wendie Malick,2009
Hayden Christensen,Kristen Stewart,Jumper ,Tom Hulce,2008
Taylor Lautner,Kristen Stewart,Twilight ,Anna Kendrick,2008
Taylor Lautner,Kristen Stewart,Twilight ,Anna Kendrick,2008
Eddie Redmayne,Kristen Stewart,The Yellow Handkerchief ,William Hurt,2008
William Hurt,Kristen Stewart,Into the Wild ,Hal Holbrook,2007
Elena Anaya,Kristen Stewart,In the Land of Women ,Dustin Milligan,2007
Josh Hutcherson,Kristen Stewart,Zathura: A Space Adventure ,Jonah Bobo,2005
Corbin Bleu,Kristen Stewart,Catch That Kid ,Kevin G. Schmidt,2004
Dwight Yoakam,Kristen Stewart,Panic Room ,Mel Rodriguez,2002
Nicky Katt,Kristin Lehman,The Way of the Gun ,Dylan Kussman,2000
Aidan Quinn,Kristin Scott Thomas,Sarah's Key ,Arben Bajraktaraj,2010
Ophelia Lovibond,Kristin Scott Thomas,Nowhere Boy ,Anne-Marie Duff,2009
Bob Balaban,Kristin Scott Thomas,Gosford Park ,Tom Hollander,2001
James Fleet,Kristin Scott Thomas,Four Weddings and a Funeral ,Simon Callow,1994
George Hamilton,Kristy Swanson,8 Heads in a Duffel Bag,Dyan Cannon,1997
Rufus Graham,Kumar Gaurav,Guiana 1838,Aasheekaa Bathija,2004
Audrey Fleurot,Kurt Fuller,Midnight in Paris ,Nina Arianda,2011
Stephen Root,Kurtwood Smith,Cedar Rapids ,Alia Shawkat,2011
Laurel Holloman,Kurtwood Smith,Prefontaine ,Amy Locane,1997
Wayne Knight,Kurtwood Smith,To Die For ,Holland Taylor,1995
Brianne Brozey,Kyle Hebert,Thunder and the House of Magic ,Joe Ochman,2013
Leos Carax,Kylie Minogue,Holy Motors ,Denis Lavant,2012
Madison Davenport,Kyra Sedgwick,The Possession ,Natasha Calis,2012
Madison Davenport,Kyra Sedgwick,The Possession ,Natasha Calis,2012
Anne Bancroft,Kyra Sedgwick,Critical Care ,Albert Brooks,1997
James Ransone,Laila Haley,Sinister 2,Jaden Klein,2015
Alexander Wraith,Lalaine,Royal Kill ,Darren Kendrick,2009
Julie Engelbrecht,Lambert Wilson,Barbecue ,Lionel Abelanski,2014
Michael Lonsdale,Lambert Wilson,Of Gods and Men ,Olivier Rabourdin,2010
Michael Greyeyes,Landon Liboiron,Passchendaele ,Caroline Dhavernas,2008
Colleen O'Shaughnessey,Lara Jill Miller,Digimon: The Movie ,Mona Marshall,2000
Michael McKean,Larry David,Whatever Works ,Conleth Hill,2009
Sheryl Crow,Larry David,Fuel ,George W. Bush,2008
Anupam Kher,Larry Miller,The Other End of the Line ,Shriya Saran,2008
Janet Jackson,Larry Miller,Nutty Professor II: The Klumps ,Chris Elliott,2000
Thure Lindhardt,Lars Mikkelsen,Flame and Citron ,Christian Berkel,2008
Kara Hayward,Laura Fraser,The Sisterhood of Night ,Louis Ozawa Changchien,2014
Marco St. John,Laura Harring,The Punisher ,Eddie Jemison,2004
Ty Olsson,Laura Harring,Willard ,Jackie Burroughs,2003
Silvio Muccino,Laura Morante,"Remember Me, My Love ",Giulia Michelini,2003
Jonathan Tucker,Laura Ramsey,The Ruins ,Sergio Calderón,2008
Kyle Schmid,Laura Ramsey,The Covenant ,Toby Hemingway,2006
Alan Taylor,Laura Ramsey,The Real Cancun ,Benjamin Fletcher,2003
Molly C. Quinn,Laura-Leigh,We're the Millers ,Thomas Lennon,2013
Kathleen Robertson,Lauren Ambrose,Psycho Beach Party ,Beth Broderick,2000
Rupert Evans,Lauren Cohan,The Boy ,Stephanie Lemelin,2016
Peter Coyote,Lauren German,A Walk to Remember ,Paz de la Huerta,2002
Remo,Lauren Gottlieb,ABCD (Any Body Can Dance) ,Prabhudheva,2013
Mike Starr,Lauren Holly,Dumb & Dumber ,Teri Garr,1994
Oliver Platt,Lea Michele,Legends of Oz: Dorothy's Return ,Jim Belushi,2013
Heather Morris,Lea Michele,Glee: The 3D Concert Movie,Kevin McHale,2011
Christina Moore,Lea Thompson,The Dog Lover ,Cullen Douglas,2016
Jason London,Lee Majors,Out Cold ,Thomas Lennon,2001
Jon Hunter,Lee Scott,Wal-Mart: The High Cost of Low Price ,Matt Hunter,2005
Ruby Lin,Leehom Wang,My Lucky Star ,Jack Kao,2013
Luke Bracey,Leighton Meester,Monte Carlo ,Brett Cullen,2011
Danneel Ackles,Leighton Meester,The Roommate ,Frances Fisher,2011
Cinda McCain,Leighton Meester,Country Strong ,Tim McGraw,2010
Coyote Shivers,Lemmy,Down and Out with the Dolls ,Zoë Poledouris,2001
Kevin Corrigan,Lena Dunham,Supporting Characters ,Alex Karpovsky,2012
Jake Ryan,Lena Dunham,The Innkeepers ,Pat Healy,2011
Merritt Wever,Lena Dunham,Tiny Furniture ,Jemima Kirke,2010
Greta Gerwig,Lena Dunham,The House of the Devil ,Dee Wallace,2009
Giancarlo Giannini,Lena Olin,Darkness ,Francesc Pagès,2002
Leslie Caron,Lena Olin,Chocolat ,Hugh O'Conor,2000
Bob Gunton,Leon,Bats ,Ned Bellamy,1999
Phil LaMarr,Leonard Nimoy,Zambezia ,Noureen DeWulf,2012
Jim Varney,Leonard Nimoy,Atlantis: The Lost Empire ,Cree Summer,2001
Nick Cannon,Leonard Roberts,Drumline ,Jason Weaver,2002
Nia Long,Leonard Roberts,Love Jones ,Larenz Tate,1997
Tom Hardy,Leonardo DiCaprio,The Revenant ,Lukas Haas,2015
Elizabeth Debicki,Leonardo DiCaprio,The Great Gatsby ,Steve Bisley,2013
Matthew McConaughey,Leonardo DiCaprio,The Wolf of Wall Street ,Jon Favreau,2013
Elizabeth Debicki,Leonardo DiCaprio,The Great Gatsby ,Steve Bisley,2013
Christoph Waltz,Leonardo DiCaprio,Django Unchained ,Ato Essandoh,2012
Naomi Watts,Leonardo DiCaprio,J. Edgar ,Kaitlyn Dever,2011
Tom Hardy,Leonardo DiCaprio,Inception ,Joseph Gordon-Levitt,2010
Joseph Sikora,Leonardo DiCaprio,Shutter Island ,Nellie Sciutto,2010
Simon McBurney,Leonardo DiCaprio,Body of Lies ,Michael Gaston,2008
Kate Winslet,Leonardo DiCaprio,Revolutionary Road ,Joe Komara,2008
Djimon Hounsou,Leonardo DiCaprio,Blood Diamond ,Stephen Collins,2006
Matt Damon,Leonardo DiCaprio,The Departed ,Ray Winstone,2006
Adam Scott,Leonardo DiCaprio,The Aviator ,Frances Conroy,2004
Liam Neeson,Leonardo DiCaprio,Gangs of New York ,Jim Broadbent,2002
Tom Hanks,Leonardo DiCaprio,Catch Me If You Can ,Jennifer Garner,2002
Virginie Ledoyen,Leonardo DiCaprio,The Beach ,Peter Youngblood Hills,2000
Anne Parillaud,Leonardo DiCaprio,The Man in the Iron Mask ,Judith Godrèche,1998
Kate Winslet,Leonardo DiCaprio,Titanic ,Gloria Stuart,1997
Robert De Niro,Leonardo DiCaprio,Marvin's Room ,Meryl Streep,1996
Harold Perrineau,Leonardo DiCaprio,Romeo + Juliet ,Brian Dennehy,1996
Pat Hingle,Leonardo DiCaprio,The Quick and the Dead ,Roberts Blossom,1995
Yuriy Tsurilo,Leonid Yarmolnik,Hard to Be a God ,Valentin Golubenko,2013
Jacob Vargas,Leonor Varela,Sleep Dealer ,Tenoch Huerta,2008
Ruth Sheen,Lesley Manville,Mr. Turner ,Karl Johnson,2014
Ruth Sheen,Lesley Manville,All or Nothing ,Gary McDonald,2002
Kate del Castillo,Leslie Bibb,No Good Deed ,Henry Simmons,2014
Patrick Fugit,Leslie Bibb,Wristcutters: A Love Story ,Chase Ellison,2006
Angus T. Jones,Leslie Bibb,See Spot Run ,Paul Sorvino,2001
Eion Bailey,Leslie Bibb,The Young Unknowns ,Arly Jover,2000
Jonathan Frakes,LeVar Burton,Star Trek: Insurrection ,Michael Dorn,1998
Alfre Woodard,LeVar Burton,Star Trek: First Contact ,Jonathan Frakes,1996
Alan Ruck,LeVar Burton,Star Trek: Generations ,Jonathan Frakes,1994
Justin Kirk,Leven Rambin,Walter ,Virginia Madsen,2015
Dwight Yoakam,Levon Helm,Three Burials ,Guillermo Arriaga,2005
Cheryl Hines,Lew Temple,Waitress ,Eddie Jemison,2007
Ashley Ashida Dixon,Lexie Contursi,Katy Perry: Part of Me ,Anthony Burrell,2012
Aaron Kwok,Li Gong,Xi you ji zhi: Sun Wukong san da Baigu Jing ,Eddie Peng,2016
